ENGLISH,FRENCH
Legends 1B: Defend the Claim,Légendes 1B : Défendre son Dû
"Lord Terenor is being attacked at Fort Eureeka. Why does he not simply withdraw?! We are forced to break the siege coming from the west.\! You, soldier, to me! What is your name?","Terenor est attaqué au Fort Eureeka. Pourquoi ne se retire-t-il pas ? On va être forcés de briser le siège qui arrive par l'ouest.\! Toi, soldat, avec moi ! Quel est ton nom ?"
"Here, Captain! Barnabas Fitch, of Melmonde, sir!","Oui, Capitaine ! Barnabas Fitch, de Melmonde, mon Capitaine !"
"I noticed the way you handled yourself at Armitage. Well done, soldier.\! Melmonde? It seems your home town may soon be on the front lines of battle.\! Do you think you can lead a heavy cavalry detachment? Speed is of the essence in this mission and we will need young men like you most of all.","Je t'ai observé à Armitage. C'est du bon boulot, soldat.\! Melmonde ? Il semble que ta ville natale va bientôt se retrouver en première ligne.\! Tu penses pouvoir mener un détachement de cavaliers lourds ? Il faudra agir vite et de jeunes hommes comme toi vont s'avérer utiles."
"Y-yes sir, I mean...\| I'll do what I can, Captain!\! Ain't much different than wranglin' wild horses back at the family farm, right?!","Oui, Chef, enfin je veux dire...\| Je ne vous décevrai pas, mon Capitaine !\! Ça ne peut pas être bien plus compliqué que de dompter des chevaux sauvages à la ferme familiale, non ?"
"Be sure not to let your men hear such a metaphor, kid.\! Lessons later, we need to move to Fort Eureeka. On the double!","Assure-toi que tes hommes ne t'entendent pas utiliser ce genre d'analogie, mon gars.\! Nous en parlerons plus tard, il nous faut marcher vers Fort Eureeka. Dépêchons-nous !"
"The age of Veridia will soon come to an end!\! Men of Ezrum, go, and bring glory to Sayunaa in my name!\! And we shall reduce Stormrook to rubble - these arrogant Midlander pigs must be sent a message. They will fear the utterance of the name, Rostam, Duke of Ezrum, ruler of Veridia!","L'ère de Veridia touche à sa fin !\! Habitants d'Ezrum, allez porter la gloire de Sayunaa en mon nom !\! Nous réduirons Stormrook en cendres. Il faut envoyer le bon message à ces rats arrogants. Ils redouteront le nom de Rostam, Duc d'Ezrum, souverain de Veridia !"
By Donar... Sayunaa has decided to move. We were told they would remain neutral!,Par Donar... Sayunaa a décidé de rentrer en guerre. On nous avait dit qu'ils resteraient neutres !
"Where I come from, a man 'n his word are all he's got! What gives?!","Là d'où je viens, une promesse tenue vaut plus que de l'or ! Comment ça se fait ?"
"We've seen the death of honor for some time now, soldier. Truth be told, this should be a surprise to no one.\! We must now protect both Fort Eureeka and Stormrook as well.\! May these treacherous Sayunaari not hold one parcel of Veridian ground!\! The walls of Stormrook have not fallen in a thousand years. Today shall be no different.","Ce n'est pas la première fois que nous sommes témoins de la mort de l'honneur, soldat. En tout franchise, je ne trouve pas cela surprenant.\! Il nous faut désormais protéger Fort Eureeka et Stormrook.\! Faisons en sorte que ces Sayunaari ne mettent pas un pied en Veridia.\! Les murs de Stormrook ont tenu pendant un millénaire. Il n'en sera pas autrement aujourd'hui."
