ENGLISH,GERMAN
"\c[1]Ezrum, fortress city in Western Sayunaa\c[0]",\c[1]Festungsstadt Ezrum im Westen Sayunaas\c[0]
"Everyone is in place, right?","Alle sind in Stellung, oder?"
"Yes.\! Even so, we are taking a great risk coming here.","Ja.\! Nichtsdestotrotz ist es sehr riskant für uns, herzukommen."
"Jules, Narima, I'm counting on you to coordinate the strike if needed.\! You know these lands better than anyone...","Jules, Narima, ich zähle darauf, dass Ihr wenn nötig den Angriff koordiniert.\! Ihr kennt dieses Land besser als sonst jemand …"
"We will be watching every moment, \n[8].\! Please, be careful.","Wir werden stets wachsam sein, \n[8].\! Bitte seid vorsichtig."
"Jules, please wait.","Jules, bitte wartet."
Yeah?,Ja?
"This is the homeland of our people.\! They will not look highly on you and I cooperating with Veridians.\! Please, do not put yourself in danger in this mission.","Dies ist die Heimat unseres Volks.\! Das wird nicht viel davon halten, dass Ihr und ich mit Veridianern zusammenarbeiten.\! Bitte bringt Euch bei dieser Mission nicht in Gefahr."
"Wow, is it really that bad?","Oha, ist es so schlimm?"
"You will just have to trust me.\! Call me for assistance for any reason.\! Come, let us get into position.","Ihr müsst mir einfach vertrauen.\! Ihr könnt mich jederzeit zu Hilfe rufen.\! Kommt, bringen wir uns in Position."
