ENGLISH,PORTUGUÊS (BRASIL)
Legends 1B: Defend the Claim,Lendas 1B: Defenda a Reivindicação
"Lord Terenor is being attacked at Fort Eureeka. Why does he not simply withdraw?! We are forced to break the siege coming from the west.\! You, soldier, to me! What is your name?","Lorde Terenor está sendo atacado no Forte Eureka. Por que ele simplesmente não desiste? Fomos forçados a romper o cerco vindo do oeste.\! Você, soldado, venha aqui. Qual o seu nome?"
"Here, Captain! Barnabas Fitch, of Melmonde, sir!","Presente, Capitão! Barnabas Fitch, de Melmonde, senhor!"
"I noticed the way you handled yourself at Armitage. Well done, soldier.\! Melmonde? It seems your home town may soon be on the front lines of battle.\! Do you think you can lead a heavy cavalry detachment? Speed is of the essence in this mission and we will need young men like you most of all.","Notei a forma como se portou em Armitage. Muito bem, soldado.\! Melmonde? Parece que logo sua cidade natal talvez seja as linhas de frente da batalha.\! Acho que é capaz de liderar o destacamento da cavalaria pesada? Velocidade é a essência nesta missão e precisaremos de jovens como você acima de tudo."
"Y-yes sir, I mean...\| I'll do what I can, Captain!\! Ain't much different than wranglin' wild horses back at the family farm, right?!","S-sim, senhor! Quero dizer...\| Farei o possível, Capitão!\! Não é muito diferente de conduzir cavalos selvagens de volta à fazenda da família, certo?!"
"Be sure not to let your men hear such a metaphor, kid.\! Lessons later, we need to move to Fort Eureeka. On the double!","Só não deixe que seus homens ouçam essa metáfora, garoto.\! Deixemos as lições para depois, precisamos nos deslocar para o Forte Eureka. Agora mesmo!"
"The age of Veridia will soon come to an end!\! Men of Ezrum, go, and bring glory to Sayunaa in my name!\! And we shall reduce Stormrook to rubble - these arrogant Midlander pigs must be sent a message. They will fear the utterance of the name, Rostam, Duke of Ezrum, ruler of Veridia!","A era de Veridia loco chegará ao fim!\! Homens de Ezrum, vão e tragam glória a Sayunaa em meu nome!\! Devemos reduzir Torre-tempesta a pó... Esses porcos arrogantes das terras centrais precisam entender o recado. Eles temerão o som do nome Rostam, Duque de Ezrum, governante de Veridia!"
By Donar... Sayunaa has decided to move. We were told they would remain neutral!,Por Donar... Sayunaa decidiu agir. Disseram que eles permaneceriam neutros!
"Where I come from, a man 'n his word are all he's got! What gives?!","De onde eu veio, a palavra de um homem é tudo o que ele tem! E aí?"
"We've seen the death of honor for some time now, soldier. Truth be told, this should be a surprise to no one.\! We must now protect both Fort Eureeka and Stormrook as well.\! May these treacherous Sayunaari not hold one parcel of Veridian ground!\! The walls of Stormrook have not fallen in a thousand years. Today shall be no different.","Vimos a morte da honra há algum tempo, soldado. Verdade seja dita, isso não deveria surpreender ninguém.\! Precisamos proteger tanto o Forte Eureka quanto Torre-tempesta.\! Que esses sayunaari traidores não conquistem um só centímetro de terras veridianas!\! As muralhas de Torre-tempesta não caíram em mil anos. Hoje não será diferente."
