ENGLISH,KOREAN
"\c[1]Throne room, Sayunaa Royal Palace\c[0]","\c[1]알현실, 사유나 왕궁\c[0]"
"\n[8], please step aside!!","\n[8], 물러나!!"
"Ugh...\| Zanatus, take me...","억... \| 자나투스시여, 절 받아주소서..."
"Suffer in eternal hell, pretender...","영원한 지옥에서 고통 받아라, 참칭자여..."
"Jules, please come to me...","줄스, 부디 제게 와주세요..."
W-what's going on??,무-무슨 일이지??
"You are the descendant of King Dargon.\! The true rulers of our nation.\! It is thought that their dynasty has ended.\! However, we, the Scions of Dargon, have spent three generations on a mission to restore the Dargon family.\! You, his great, great grandson, are to be our king.","당신은 다르곤 왕의 후예에요. \! 이 나라의 참된 통치자죠. \! 다들 다르곤 왕조는 끝났다고 생각했어요. \! 하지만, 우리 다르곤의 후예들은 세 세대에 걸쳐 다르곤 왕조를 복위하고자 갖은 노력을 다했어요. \! 그분의 증손자인 당신께서 우리의 왕이 될 거에요."
"We could not reveal your identity, not even to you.\! There are many powerful forces who would have wanted you dead.\! But the time has come for you to claim your rightful place on the throne.",당신의 정체는 당신께도 밝힐 수 없었어요. \! 당신이 죽기를 원하는 강한 세력들이 많이 있었으니까요. \! 하지만 이제 당신께서 왕좌의 정당한 권리를 차지할 때가 왔어요.
"Don't look at me.\! Seems to me you should have a seat on that nice throne there, friend.","나를 볼게 아니지. \! 내가 보기에 너는 저 멋진 왕좌에 앉아야 할 것 같아, 친구."
This doesn't feel right.\! I did nothing to deserve to rule over anyone...,이건 옳지 않은 느낌인데. \! 난 아무도 통치할 자격을 갖출 만한 일을 한 적이 없어...
"The people have wished this for longer than living memory.\! We of the Scions of Dargon have taken many lives, and endured much to get to this point.\! You must accept your fate, my king.\! For the future of our homeland...","사람들은 이것을 살아있던 기억보다 더 오래도록 기대해 왔어요. \! 우리 다르곤의 후예들은 많은 생명을 앗았고, 여기까지 오기 위해 많은 것을 견뎌냈었죠. \! 이제 운명을 받아들이셔야 합니다, 왕이시여. \! 우리 조국의 미래를 위해..."
"I always knew you were a noble spirit.\! Can't think of a more deserving soul to randomly become a king.\! Don't worry about it, we can figure out the details later.","난 언제나 네가 고귀한 영혼의 소유자라는 걸 알고 있었어. \! 더 왕이 될 자격을 갖춘 이를 생각할 수는 없어. \! 걱정하지 마, 세세한 사항은 나중에 생각해 낼 수 있으니까."
Narima...\| I wish for my people to join the fight against the Empire of Archaelus...\| can this happen?,나리마... \| 난 내 백성들이 아르켈루스 제국과의 싸움에 동참하기를 원해...\| 그게 가능할까?
It shall be done.,분부하신 대로 될 것입니다.
