ENGLISH,ENGLISH
"\c[1]Ezrum, fortress city in Western Sayunaa\c[0]","\c[1]Ezrum, ciudad fortificada de Sayunaa Occidental\c[0]"
"Everyone is in place, right?",¿Estáis todos en vuestras posiciones?
"Yes.\! Even so, we are taking a great risk coming here.","Sí.\! Sin embargo, estamos asumiendo un gran riesgo al venir aquí."
"Jules, Narima, I'm counting on you to coordinate the strike if needed.\! You know these lands better than anyone...","Jules, Narima, cuento con vosotros para coordinar el ataque si es necesario.\! Conocéis estas tierras mejor que nadie."
"We will be watching every moment, \n[8].\! Please, be careful.","Estaremos atentos a todos los movimientos, \n[8].\! Por favor, tened cuidado."
"Jules, please wait.","Jules, espera."
Yeah?,¿Sí?
"This is the homeland of our people.\! They will not look highly on you and I cooperating with Veridians.\! Please, do not put yourself in danger in this mission.","Esta es nuestra tierra natal.\! Nuestro pueblo no verá con buenos ojos que tú y yo cooperemos con los veridianos.\! Por favor, no asumas ningún riesgo en esta misión."
"Wow, is it really that bad?","Vaya, ¿tan mal están las cosas?"
"You will just have to trust me.\! Call me for assistance for any reason.\! Come, let us get into position.","Simplemente, confía en mí.\! Llámame si necesitas ayuda por cualquier razón.\! Venga, ocupemos nuestras posiciones."
