ENGLISH,JAPANESE
S-Soldiers...\| Attack!!\|\|\|\^,も、者ども...\|かかれ！！\|\|\|\^
No...\| not you...\| It couldn't be...?\| The prophecy is unraveling...\| Uaaaaagggh!!!\|\|\^,馬鹿な...\|ありえん...\|こんなことが...？\|預言が成就されるなど...\|うがああああ！！\|\|\^
Is it really...?\|\|\^,お前、まさか...？\|\|\^
"Yes.\| It's good to be back, Stefan.\|\|\|\|\^",そうだ。\|また会えてうれしいよ、ステファン。\|\|\|\|\^
Diana...,ダイアナ...
"The mountain took her, \n[8]...",山に命を取られちまったのさ、\n[8]...
Please step aside.,脇にのいてくれ。
...\| \n[8]???\! Why do I see \n[8]...\| Have I perished...?,...\|\n[8]？\!どうして\n[8]がこんな所に...\|ここは死後の世界か...？
"Not quite.\! You're doing pretty well, you'll find.",いいや。\!まだしっかりと生きているよ。
"Stefan, stand over there.",ステファン、そこに立ってくれ。
"Uhhhh... okay, sure thing!",ああ...わかったぜ！
"What the...\| have you lost yer mind, \n[8]?!!  ...\| Wait a minute...",なんだ...\|頭でも狂ったのか、\n[8]！？\|ん、ちょっと待てよ...
Nice trick.\! You should probably do it again.,なかなか面白いだろう。\!なら、次を行ってみよう。
"\n[8], I have questions...\| a chat, please?",\n[8]...\|ちょっと聞いてもいいか？
"Have a little faith, eh?",少し黙って見ていてくれ。
...\|H-Holy mackerel!,...\|な、なんてこったい！！
Stefan...\| we have been chosen...,ステファン...\|どうやら我々は神に選ばれたようだ...
"No more running, no more hiding.\! The lines are drawn and the enemy has played his hand.\! Casamir... the Nephilim have arrived, and we're coming for you.",もう逃げることも、隠れることもない。\!あらゆる場所が制圧され、なお敵は動いている。\!だがカサミールよ...この大地にネフィリムが降臨したのだ。首を洗って待っているがいい。
